Year of Date,State,CountySt,County,CityState,City,Targeted,Bounces,Exits,New Users,Number of Records,Pageviews,Session Duration,Sessions,Time On Page,Unique Pageviews,EventCity
2017,New Hampshire,"Rockingham, NH",Rockingham,"Portsmouth, New Hampshire",Portsmouth,Targeted,6,8,8,8,10,"1,500",8,"1,500",8,No Event
2017,New Hampshire,"Rockingham, NH",Rockingham,"Raymond, New Hampshire",Raymond,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,New Hampshire,"Rockingham, NH",Rockingham,"Salem, New Hampshire",Salem,Targeted,3,3,3,3,3,0,3,0,3,EventCity
2017,New Hampshire,"Rockingham, NH",Rockingham,"Windham, New Hampshire",Windham,Targeted,6,6,6,6,6,0,6,0,6,No Event
2017,New Hampshire,"Strafford, NH",Strafford,"Barrington, New Hampshire",Barrington,Targeted,4,5,4,5,6,0,5,0,5,No Event
2017,New Hampshire,"Strafford, NH",Strafford,"Dover, New Hampshire",Dover,Targeted,38,38,29,35,38,0,38,0,38,No Event
2017,New Hampshire,"Strafford, NH",Strafford,"Durham, New Hampshire",Durham,Targeted,1,1,0,1,1,0,1,0,1,EventCity
2017,New Hampshire,"Strafford, NH",Strafford,"Farmington, New Hampshire",Farmington,Targeted,2,2,2,2,2,0,2,0,2,No Event
2017,New Hampshire,"Strafford, NH",Strafford,"Milton, New Hampshire",Milton,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,New Hampshire,"Strafford, NH",Strafford,"Rochester, New Hampshire",Rochester,Targeted,10,11,10,10,12,7,11,7,12,No Event
2017,New Hampshire,"Strafford, NH",Strafford,"Somersworth, New Hampshire",Somersworth,Targeted,1,2,2,2,3,4,2,4,2,No Event
2017,New Hampshire,"Sullivan, NH",Sullivan,"Claremont, New Hampshire",Claremont,Other,6,6,2,6,6,0,6,0,6,No Event
2017,New Hampshire,"Sullivan, NH",Sullivan,"Sunapee, New Hampshire",Sunapee,Other,1,1,1,1,1,0,1,0,1,No Event
2017,Rhode Island,"Bristol, RI",Bristol,"Barrington, Rhode Island",Barrington,Targeted,20,20,16,17,20,0,20,0,20,No Event
2017,Rhode Island,"Bristol, RI",Bristol,"Bristol, Rhode Island",Bristol,Targeted,12,12,10,7,12,0,12,0,12,EventCity
2017,Rhode Island,"Kent, RI",Kent,"Coventry, Rhode Island",Coventry,Targeted,1,1,1,1,1,0,1,0,1,No Event
2017,Rhode Island,"Kent, RI",Kent,"East Greenwich, Rhode Island",East Greenwich,Targeted,4,4,3,4,4,0,4,0,4,No Event
