"CitySt","Year","State","County","City","Targeted","Bounces","Exits","New.Users","Number.of.Records","Pageviews","Session.Duration","Sessions","Time.On.Page","Unique.Pageviews","EventCity","CityState","ZIP","lat","lon"
"Haverhill, MA",2017,"Massachusetts","Essex","Haverhill","Targeted","34","37","31",31,"41","93","37","93","38","EventCity",NA,NA,NA,NA
"Lawrence, MA",2017,"Massachusetts","Essex","Lawrence","Targeted","12","13","9",13,"14","103","13","103","13","EventCity",NA,NA,NA,NA
"Lynn, MA",2017,"Massachusetts","Essex","Lynn","Targeted","10","11","11",11,"12","4","11","4","11","No Event",NA,NA,NA,NA
"Methuen, MA",2017,"Massachusetts","Essex","Methuen","Targeted","8","8","8",8,"8","0","8","0","8","EventCity",NA,NA,NA,NA
"Newburyport, MA",2017,"Massachusetts","Essex","Newburyport","Targeted","4","4","4",4,"4","0","4","0","4","EventCity",NA,NA,NA,NA
"North Andover, MA",2017,"Massachusetts","Essex","North Andover","Targeted","15","16","9",12,"17","1,335","16","1,335","16","No Event",NA,NA,NA,NA
"Peabody, MA",2017,"Massachusetts","Essex","Peabody","Targeted","6","7","5",7,"8","151","7","151","7","EventCity",NA,NA,NA,NA
"Salem, MA",2017,"Massachusetts","Essex","Salem","Targeted","4","4","3",4,"4","0","4","0","4","No Event",NA,NA,NA,NA
"Saugus, MA",2017,"Massachusetts","Essex","Saugus","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Wenham, MA",2017,"Massachusetts","Essex","Wenham","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Springfield, MA",2017,"Massachusetts","Hampden","Springfield","Targeted","2","2","2",2,"2","0","2","0","2","EventCity",NA,NA,NA,NA
"West Springfield, MA",2017,"Massachusetts","Hampden","West Springfield","Targeted","2","3","1",3,"5","97","3","97","4","EventCity",NA,NA,NA,NA
"Amherst, MA",2017,"Massachusetts","Hampshire","Amherst","Other","2","2","1",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Northampton, MA",2017,"Massachusetts","Hampshire","Northampton","Other","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Acton, MA",2017,"Massachusetts","Middlesex","Acton","Targeted","4","5","5",5,"6","3","5","3","5","No Event",NA,NA,NA,NA
"Arlington, MA",2017,"Massachusetts","Middlesex","Arlington","Targeted","14","16","14",14,"38","644","16","645","32","No Event",NA,NA,NA,NA
"Ashby, MA",2017,"Massachusetts","Middlesex","Ashby","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Ashland, MA",2017,"Massachusetts","Middlesex","Ashland","Targeted","6","6","4",6,"6","0","6","0","6","No Event",NA,NA,NA,NA
"Bedford, MA",2017,"Massachusetts","Middlesex","Bedford","Targeted","5","5","5",5,"5","0","5","0","5","No Event",NA,NA,NA,NA
"Belmont, MA",2017,"Massachusetts","Middlesex","Belmont","Targeted","3","3","1",2,"3","0","3","0","3","No Event",NA,NA,NA,NA
"Billerica, MA",2017,"Massachusetts","Middlesex","Billerica","Targeted","19","21","13",20,"25","1,093","21","1,093","22","EventCity",NA,NA,NA,NA
"Burlington, MA",2017,"Massachusetts","Middlesex","Burlington","Targeted","10","11","6",10,"12","17","11","17","11","No Event",NA,NA,NA,NA
"Cambridge, MA",2017,"Massachusetts","Middlesex","Cambridge","Targeted","15","17","16",16,"24","789","17","789","18","EventCity",NA,NA,NA,NA
"Chelmsford, MA",2017,"Massachusetts","Middlesex","Chelmsford","Targeted","3","3","3",3,"3","0","3","0","3","No Event",NA,NA,NA,NA
"Concord, MA",2017,"Massachusetts","Middlesex","Concord","Targeted","5","5","4",5,"5","0","5","0","5","No Event",NA,NA,NA,NA
"Dracut, MA",2017,"Massachusetts","Middlesex","Dracut","Targeted","3","3","3",3,"3","0","3","0","3","No Event",NA,NA,NA,NA
"Everett, MA",2017,"Massachusetts","Middlesex","Everett","Targeted","4","5","5",4,"8","41","5","42","6","No Event",NA,NA,NA,NA
"Framingham, MA",2017,"Massachusetts","Middlesex","Framingham","Targeted","12","13","10",12,"21","151","13","151","18","No Event",NA,NA,NA,NA
"Holliston, MA",2017,"Massachusetts","Middlesex","Holliston","Targeted","13","13","10",10,"13","0","13","0","13","No Event",NA,NA,NA,NA
"Hopkinton, MA",2017,"Massachusetts","Middlesex","Hopkinton","Targeted","10","11","11",11,"12","29","11","29","11","No Event",NA,NA,NA,NA
"Lexington, MA",2017,"Massachusetts","Middlesex","Lexington","Targeted","5","5","5",5,"5","0","5","0","5","EventCity",NA,NA,NA,NA
"Littleton, MA",2017,"Massachusetts","Middlesex","Littleton","Targeted","8","8","8",7,"8","0","8","0","8","No Event",NA,NA,NA,NA
"Lowell, MA",2017,"Massachusetts","Middlesex","Lowell","Targeted","7","10","10",10,"13","1,441","10","1,441","11","EventCity",NA,NA,NA,NA
"Malden, MA",2017,"Massachusetts","Middlesex","Malden","Targeted","24","25","20",23,"26","9","25","9","25","No Event",NA,NA,NA,NA
"Marlborough, MA",2017,"Massachusetts","Middlesex","Marlborough","Targeted","30","33","30",28,"36","37","33","37","33","No Event",NA,NA,NA,NA
"Medford, MA",2017,"Massachusetts","Middlesex","Medford","Targeted","10","12","12",11,"15","58","12","58","13","EventCity",NA,NA,NA,NA
"Melrose, MA",2017,"Massachusetts","Middlesex","Melrose","Targeted","2","2","2",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Natick, MA",2017,"Massachusetts","Middlesex","Natick","Targeted","2","2","1",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Newton, MA",2017,"Massachusetts","Middlesex","Newton","Targeted","5","5","5",4,"5","0","5","0","5","No Event",NA,NA,NA,NA
"North Reading, MA",2017,"Massachusetts","Middlesex","North Reading","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Pepperell, MA",2017,"Massachusetts","Middlesex","Pepperell","Targeted","2","2","2",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Reading, MA",2017,"Massachusetts","Middlesex","Reading","Targeted","12","13","10",12,"14","1,007","13","1,007","13","No Event",NA,NA,NA,NA
"Somerville, MA",2017,"Massachusetts","Middlesex","Somerville","Targeted","4","4","4",4,"4","0","4","0","4","No Event",NA,NA,NA,NA
"Stoneham, MA",2017,"Massachusetts","Middlesex","Stoneham","Targeted","5","7","1",6,"9","36","7","36","7","No Event",NA,NA,NA,NA
"Sudbury, MA",2017,"Massachusetts","Middlesex","Sudbury","Targeted","8","9","9",8,"10","30","9","30","9","No Event",NA,NA,NA,NA
"Tewksbury, MA",2017,"Massachusetts","Middlesex","Tewksbury","Targeted","25","27","14",21,"30","65","27","65","27","No Event",NA,NA,NA,NA
"Townsend, MA",2017,"Massachusetts","Middlesex","Townsend","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Tyngsborough, MA",2017,"Massachusetts","Middlesex","Tyngsborough","Targeted","3","3","1",3,"3","0","3","0","3","No Event",NA,NA,NA,NA
"Wakefield, MA",2017,"Massachusetts","Middlesex","Wakefield","Targeted","4","4","4",4,"4","0","4","0","4","No Event",NA,NA,NA,NA
"Waltham, MA",2017,"Massachusetts","Middlesex","Waltham","Targeted","5","6","5",5,"7","914","6","914","6","EventCity",NA,NA,NA,NA
"Watertown, MA",2017,"Massachusetts","Middlesex","Watertown","Targeted","1","1","1",1,"1","0","1","0","1","EventCity",NA,NA,NA,NA
"Westford, MA",2017,"Massachusetts","Middlesex","Westford","Targeted","6","8","6",7,"10","33","8","33","9","No Event",NA,NA,NA,NA
"Weston, MA",2017,"Massachusetts","Middlesex","Weston","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Wilmington, MA",2017,"Massachusetts","Middlesex","Wilmington","Targeted","3","3","3",3,"3","0","3","0","3","EventCity",NA,NA,NA,NA
"Winchester, MA",2017,"Massachusetts","Middlesex","Winchester","Targeted","5","5","5",5,"5","0","5","0","5","No Event",NA,NA,NA,NA
"Woburn, MA",2017,"Massachusetts","Middlesex","Woburn","Targeted","3","3","2",3,"3","0","3","0","3","No Event",NA,NA,NA,NA
"Foxborough, MA",2017,"Massachusetts","Norfolk","Foxborough","Targeted","1","1","0",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Franklin, MA",2017,"Massachusetts","Norfolk","Franklin","Targeted","5","7","4",6,"10","849","7","849","7","EventCity",NA,NA,NA,NA
"Medway, MA",2017,"Massachusetts","Norfolk","Medway","Targeted","2","2","0",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Quincy, MA",2017,"Massachusetts","Norfolk","Quincy","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Randolph, MA",2017,"Massachusetts","Norfolk","Randolph","Targeted","1","1","0",1,"1","0","1","0","1","EventCity",NA,NA,NA,NA
"Weymouth, MA",2017,"Massachusetts","Norfolk","Weymouth","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Bridgewater, MA",2017,"Massachusetts","Plymouth","Bridgewater","Targeted","2","3","1",2,"6","29","3","28","3","EventCity",NA,NA,NA,NA
"Brockton, MA",2017,"Massachusetts","Plymouth","Brockton","Targeted","0","2","2",2,"6","28","2","27","2","EventCity",NA,NA,NA,NA
"Boston, MA",2017,"Massachusetts","Suffolk","Boston","Targeted","1,808","1,943","1,023",229,"2,284","34,101","1,943","34,102","2,029","EventCity",NA,NA,NA,NA
"Revere, MA",2017,"Massachusetts","Suffolk","Revere","Targeted","1","1","0",1,"1","0","1","0","1","EventCity",NA,NA,NA,NA
"Athol, MA",2017,"Massachusetts","Worcester","Athol","Targeted","2","2","1",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Auburn, MA",2017,"Massachusetts","Worcester","Auburn","Targeted","19","20","9",15,"21","66","20","66","20","EventCity",NA,NA,NA,NA
"Barre, MA",2017,"Massachusetts","Worcester","Barre","Targeted","2","2","2",2,"2","0","2","0","2","EventCity",NA,NA,NA,NA
"Charlton, MA",2017,"Massachusetts","Worcester","Charlton","Targeted","2","2","2",2,"2","0","2","0","2","EventCity",NA,NA,NA,NA
"Fitchburg, MA",2017,"Massachusetts","Worcester","Fitchburg","Targeted","10","10","8",9,"10","0","10","0","10","EventCity",NA,NA,NA,NA
"Gardner, MA",2017,"Massachusetts","Worcester","Gardner","Targeted","7","7","7",6,"7","0","7","0","7","EventCity",NA,NA,NA,NA
"Leicester, MA",2017,"Massachusetts","Worcester","Leicester","Targeted","1","1","0",1,"1","0","1","0","1","EventCity",NA,NA,NA,NA
"Leominster, MA",2017,"Massachusetts","Worcester","Leominster","Targeted","2","2","1",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Milford, MA",2017,"Massachusetts","Worcester","Milford","Targeted","37","38","24",31,"39","1","38","1","38","No Event",NA,NA,NA,NA
"Northborough, MA",2017,"Massachusetts","Worcester","Northborough","Targeted","1","2","2",2,"3","2","2","2","2","EventCity",NA,NA,NA,NA
"Oxford, MA",2017,"Massachusetts","Worcester","Oxford","Targeted","14","14","6",11,"14","0","14","0","14","EventCity",NA,NA,NA,NA
"Princeton, MA",2017,"Massachusetts","Worcester","Princeton","Targeted","2","2","2",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Shrewsbury, MA",2017,"Massachusetts","Worcester","Shrewsbury","Targeted","1","2","1",1,"3","16","2","16","2","No Event",NA,NA,NA,NA
"Southborough, MA",2017,"Massachusetts","Worcester","Southborough","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Spencer, MA",2017,"Massachusetts","Worcester","Spencer","Targeted","1","2","2",2,"3","9","2","9","2","No Event",NA,NA,NA,NA
"Templeton, MA",2017,"Massachusetts","Worcester","Templeton","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Upton, MA",2017,"Massachusetts","Worcester","Upton","Targeted","2","2","2",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Uxbridge, MA",2017,"Massachusetts","Worcester","Uxbridge","Targeted","2","2","2",2,"2","0","2","0","2","EventCity",NA,NA,NA,NA
"Webster, MA",2017,"Massachusetts","Worcester","Webster","Targeted","8","8","5",8,"8","0","8","0","8","EventCity",NA,NA,NA,NA
"Westborough, MA",2017,"Massachusetts","Worcester","Westborough","Targeted","2","2","2",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Westminster, MA",2017,"Massachusetts","Worcester","Westminster","Targeted","2","2","2",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Worcester, MA",2017,"Massachusetts","Worcester","Worcester","Targeted","19","21","18",21,"27","682","21","681","22","EventCity",NA,NA,NA,NA
"Alton, NH",2017,"New Hampshire","Belknap","Alton","Targeted","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Gilford, NH",2017,"New Hampshire","Belknap","Gilford","Other","0","1","1",1,"2","7","1","7","1","EventCity",NA,NA,NA,NA
"Laconia, NH",2017,"New Hampshire","Belknap","Laconia","Other","4","4","4",4,"4","0","4","0","4","EventCity",NA,NA,NA,NA
"Meredith, NH",2017,"New Hampshire","Belknap","Meredith","Other","0","1","1",1,"2","135","1","135","2","EventCity",NA,NA,NA,NA
"New Hampton, NH",2017,"New Hampshire","Belknap","New Hampton","Other","2","2","1",2,"2","0","2","0","2","EventCity",NA,NA,NA,NA
"Bartlett, NH",2017,"New Hampshire","Carroll","Bartlett","Other","3","3","3",3,"3","0","3","0","3","No Event",NA,NA,NA,NA
"Conway, NH",2017,"New Hampshire","Carroll","Conway","Other","29","29","28",27,"29","0","29","0","29","No Event",NA,NA,NA,NA
"Freedom, NH",2017,"New Hampshire","Carroll","Freedom","Other","8","9","9",9,"16","162","9","161","16","No Event",NA,NA,NA,NA
"Jackson, NH",2017,"New Hampshire","Carroll","Jackson","Other","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Madison, NH",2017,"New Hampshire","Carroll","Madison","Other","3","4","4",4,"12","813","4","813","11","No Event",NA,NA,NA,NA
"Moultonborough, NH",2017,"New Hampshire","Carroll","Moultonborough","Other","13","13","12",13,"13","0","13","0","13","No Event",NA,NA,NA,NA
"Tamworth, NH",2017,"New Hampshire","Carroll","Tamworth","Other","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Wakefield, NH",2017,"New Hampshire","Carroll","Wakefield","Other","2","3","3",3,"4","18","3","18","4","No Event",NA,NA,NA,NA
"Wolfeboro, NH",2017,"New Hampshire","Carroll","Wolfeboro","Other","12","13","12",13,"14","116","13","116","13","No Event",NA,NA,NA,NA
"Keene, NH",2017,"New Hampshire","Cheshire","Keene","Other","6","6","6",6,"6","0","6","0","6","No Event",NA,NA,NA,NA
"Rindge, NH",2017,"New Hampshire","Cheshire","Rindge","Other","5","5","3",5,"5","0","5","0","5","No Event",NA,NA,NA,NA
"Berlin, NH",2017,"New Hampshire","Coos","Berlin","Other","12","17","14",17,"26","792","17","793","20","No Event",NA,NA,NA,NA
"Carroll, NH",2017,"New Hampshire","Coos","Carroll","Other","4","4","3",3,"4","0","4","0","4","No Event",NA,NA,NA,NA
"Colebrook, NH",2017,"New Hampshire","Coos","Colebrook","Other","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Gorham, NH",2017,"New Hampshire","Coos","Gorham","Other","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Lancaster, NH",2017,"New Hampshire","Coos","Lancaster","Other","9","9","9",9,"9","0","9","0","9","No Event",NA,NA,NA,NA
"Northumberland, NH",2017,"New Hampshire","Coos","Northumberland","Other","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Pittsburg, NH",2017,"New Hampshire","Coos","Pittsburg","Other","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Whitefield, NH",2017,"New Hampshire","Coos","Whitefield","Other","2","2","2",2,"2","0","2","0","2","No Event",NA,NA,NA,NA
"Bethlehem, NH",2017,"New Hampshire","Grafton","Bethlehem","Other","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Hanover, NH",2017,"New Hampshire","Grafton","Hanover","Other","1","1","1",1,"1","0","1","0","1","No Event",NA,NA,NA,NA
"Lyme, NH",2017,"New Hampshire","Grafton","Lyme","Other","6","6","5",5,"6","0","6","0","6","No Event",NA,NA,NA,NA
