CityState,ZIP,City,State,lat,lon
"Acton, MA",01720,Acton,MA,42.477142,-71.4422
"Ashland, MA",01721,Ashland,MA,42.257956,-71.45886
"Bedford, MA",01730,Bedford,MA,42.496679,-71.27504
"Hanscom AFB, MA",01731,Hanscom AFB,MA,42.459085,-71.27556
"Bolton, MA",01740,Bolton,MA,42.437086,-71.61266
"Carlisle, MA",01741,Carlisle,MA,42.5286,-71.35084
"Concord, MA",01742,Concord,MA,42.457201,-71.37478
"Fayville, MA",01745,Fayville,MA,42.295544,-71.50468
"Holliston, MA",01746,Holliston,MA,42.196065,-71.43797
"Hopedale, MA",01747,Hopedale,MA,42.125536,-71.53662
"Hopkinton, MA",01748,Hopkinton,MA,42.220447,-71.53418
"Hudson, MA",01749,Hudson,MA,42.389813,-71.55791
"Natick, MA",01750,Natick,MA,42.273817,-71.378157
"Marlborough, MA",01752,Marlborough,MA,42.350909,-71.54753
"Maynard, MA",01754,Maynard,MA,42.430781,-71.45594
"Mendon, MA",01756,Mendon,MA,42.092006,-71.54474
"Milford, MA",01757,Milford,MA,42.149176,-71.52149
"Sherborn, MA",01770,Sherborn,MA,42.231025,-71.37202
"Southborough, MA",01772,Southborough,MA,42.297643,-71.53369
"Lincoln, MA",01773,Lincoln,MA,42.425537,-71.30316
"Stow, MA",01775,Stow,MA,42.423882,-71.51086
"Sudbury, MA",01776,Sudbury,MA,42.38532,-71.42989
"Wayland, MA",01778,Wayland,MA,42.345583,-71.35643
"Woodville, MA",01784,Woodville,MA,42.446396,-71.459405
"Woburn, MA",01801,Woburn,MA,42.484545,-71.15206
"Burlington, MA",01803,Burlington,MA,42.506362,-71.20008
"Andover, MA",01810,Andover,MA,42.646942,-71.1513
"Pinehurst, MA",01820,Pinehurst,MA,42.540779,-71.238175
"Billerica, MA",01821,Billerica,MA,42.54805,-71.25054
"Haverhill, MA",01823,Haverhill,MA,42.800429,-71.11087
"Chelmsford, MA",01824,Chelmsford,MA,42.595491,-71.3544
"Dracut, MA",01826,Dracut,MA,42.677772,-71.316
"Dunstable, MA",01827,Dunstable,MA,42.671356,-71.50292
"Georgetown, MA",01833,Georgetown,MA,42.729437,-70.98291
"Groveland, MA",01834,Groveland,MA,42.750691,-71.02487
"Lawrence, MA",01840,Lawrence,MA,42.706941,-71.16181
"Methuen, MA",01844,Methuen,MA,42.73004,-71.17935
"North Andover, MA",01845,North Andover,MA,42.683841,-71.11171
"Lowell, MA",01850,Lowell,MA,42.655791,-71.30504
"Merrimac, MA",01860,Merrimac,MA,42.834246,-71.00207
"North Billerica, MA",01862,North Billerica,MA,42.573592,-71.2911
"North Chelmsford, MA",01863,North Chelmsford,MA,42.634199,-71.39322
"North Reading, MA",01864,North Reading,MA,42.583436,-71.0982
"Nutting Lake, MA",01865,Nutting Lake,MA,42.446396,-71.459405
"Reading, MA",01867,Reading,MA,42.52585,-71.10993
"Tewksbury, MA",01876,Tewksbury,MA,42.601684,-71.22071
"Tyngsboro, MA",01879,Tyngsboro,MA,42.671589,-71.41694
"Wakefield, MA",01880,Wakefield,MA,42.501345,-71.07132
"West Boxford, MA",01885,West Boxford,MA,42.635443,-70.879123
"Westford, MA",01886,Westford,MA,42.592086,-71.43754
"Wilmington, MA",01887,Wilmington,MA,42.558576,-71.17031
"Winchester, MA",01890,Winchester,MA,42.451945,-71.14276
"Lynn, MA",01901,Lynn,MA,42.461246,-70.946743
"Saugus, MA",01906,Saugus,MA,42.462796,-71.0098
"Swampscott, MA",01907,Swampscott,MA,42.474409,-70.90588
"Nahant, MA",01908,Nahant,MA,42.427096,-70.92809
"Amesbury, MA",01913,Amesbury,MA,42.854423,-70.93547
"Beverly, MA",01915,Beverly,MA,42.560995,-70.8757
"Boxford, MA",01921,Boxford,MA,42.677869,-71.00844
"Byfield, MA",01922,Byfield,MA,42.76087,-70.92648
"Danvers, MA",01923,Danvers,MA,42.569756,-70.94322
"Essex, MA",01929,Essex,MA,42.631753,-70.77925
"Gloucester, MA",01930,Gloucester,MA,42.624015,-70.67552
"Hamilton, MA",01936,Hamilton,MA,42.635443,-70.879123
"Hathorne, MA",01937,Hathorne,MA,42.635443,-70.879123
"Ipswich, MA",01938,Ipswich,MA,42.682965,-70.84007
"Lynnfield, MA",01940,Lynnfield,MA,42.527895,-71.02834
"Manchester, MA",01944,Manchester,MA,42.580033,-70.76462
"Marblehead, MA",01945,Marblehead,MA,42.497146,-70.86323
"Salem, MA",01947,Salem,MA,42.642845,-70.873647
"Middleton, MA",01949,Middleton,MA,42.602278,-71.01356
"Newburyport, MA",01950,Newburyport,MA,42.809891,-70.86363
"Newbury, MA",01951,Newbury,MA,42.780141,-70.86866
"Salisbury, MA",01952,Salisbury,MA,42.85048,-70.86153
"Peabody, MA",01960,Peabody,MA,42.534045,-70.96146
"Prides Crossing, MA",01965,Prides Crossing,MA,42.558113,-70.825743
"Rockport, MA",01966,Rockport,MA,42.659936,-70.61727
"Rowley, MA",01969,Rowley,MA,42.716708,-70.90899
"South Hamilton, MA",01982,South Hamilton,MA,42.616643,-70.86513
"Topsfield, MA",01983,Topsfield,MA,42.642471,-70.94424
"Wenham, MA",01984,Wenham,MA,42.600518,-70.87618
"West Newbury, MA",01985,West Newbury,MA,42.790736,-70.97286
"Accord, MA",02018,Accord,MA,41.970474,-70.701357
"Bellingham, MA",02019,Bellingham,MA,42.075122,-71.47953
"Brant Rock, MA",02020,Brant Rock,MA,42.081825,-70.643868
"Canton, MA",02021,Canton,MA,42.166776,-71.1343
"Cohasset, MA",02025,Cohasset,MA,42.241908,-70.81223
"Dedham, MA",02026,Dedham,MA,42.244609,-71.16553
"Providence, RI",02029,Providence,RI,41.817398,-71.453674
"Dover, MA",02030,Dover,MA,42.23888,-71.28241
"East Mansfield, MA",02031,East Mansfield,MA,41.998799,-71.200894
"East Walpole, MA",02032,East Walpole,MA,42.153912,-71.21362
"Foxboro, MA",02035,Foxboro,MA,42.061427,-71.24232
"Franklin, MA",02038,Franklin,MA,42.089104,-71.4069
"Greenbush, MA",02040,Greenbush,MA,41.970474,-70.701357
"Green Harbor, MA",02041,Green Harbor,MA,42.069642,-70.649075
"Hingham, MA",02043,Hingham,MA,42.225708,-70.88764
"Hull, MA",02045,Hull,MA,42.286347,-70.87663
"Humarock, MA",02047,Humarock,MA,42.142836,-70.69353
"Mansfield, MA",02048,Mansfield,MA,42.019982,-71.2191
"Marshfield, MA",02050,Marshfield,MA,42.109763,-70.69172
"Marshfield Hills, MA",02051,Marshfield Hills,MA,42.151202,-70.734146
"Medfield, MA",02052,Medfield,MA,42.185571,-71.30476
"Medway, MA",02053,Medway,MA,42.151526,-71.42315
"Millis, MA",02054,Millis,MA,42.166398,-71.36178
"Minot, MA",02055,Minot,MA,41.970474,-70.701357
"Norfolk, MA",02056,Norfolk,MA,42.111836,-71.32855
"North Marshfield, MA",02059,North Marshfield,MA,41.970474,-70.701357
"North Scituate, MA",02060,North Scituate,MA,41.970474,-70.701357
"Norwell, MA",02061,Norwell,MA,42.15243,-70.8205
"Norwood, MA",02062,Norwood,MA,42.185974,-71.20166
"Ocean Bluff, MA",02065,Ocean Bluff,MA,42.097219,-70.651567
"Scituate, MA",02066,Scituate,MA,42.205038,-70.7513
"Sharon, MA",02067,Sharon,MA,42.113749,-71.17923
"Sheldonville, MA",02070,Sheldonville,MA,42.180048,-71.08923
"South Walpole, MA",02071,South Walpole,MA,42.101406,-71.27239
"Stoughton, MA",02072,Stoughton,MA,42.125432,-71.10627
"Walpole, MA",02081,Walpole,MA,42.145237,-71.25375
"Foxborough, MA",02085,Foxborough,MA,42.075995,-71.286055
"Westwood, MA",02090,Westwood,MA,42.212949,-71.20735
